alpha,perturb_target,layer_spec,num_examples,kl_p_to_q,kl_q_to_p,js,tv,accept_mass,top1_match,top5_overlap,draft_prob_on_target_top1,target_prob_on_target_top1,gen_exact_match,gen_prefix_match_len
0.1,keys,layer_2,32,0.0007855902187543506,0.0007824694983753488,0.00019585297584256978,0.010324604196284781,0.9896756112575531,1.0,0.9812500011175871,0.6268177533056587,0.6265926496125758,0.78125,14.1875
0.0,values,layer_2,32,7.974449545145035e-09,7.974449545145035e-09,-3.4994506316159135e-09,0.0,1.0000002104789019,1.0,1.0,0.6265926496125758,0.6265926496125758,1.0,16.0
0.01,values,layer_2,32,0.0007058475512167206,0.0007063106118323503,0.00017645096432516993,0.010669986933862674,0.9893302340060472,1.0,0.993750000372529,0.6253756505902857,0.6265926496125758,0.8125,14.65625
0.03,values,layer_2,32,0.0007305918168754033,0.0007273965473473254,0.00018214220998657993,0.01006007497585415,0.9899401627480984,1.0,0.993750000372529,0.6263597318902612,0.6265926496125758,0.90625,15.46875
0.1,values,layer_2,32,0.0005855102595830886,0.0005897599731952141,0.00014676790661383166,0.008209731875467696,0.9917904958128929,1.0,0.993750000372529,0.6260881263297051,0.6265926496125758,0.75,13.84375
0.0,keys,layer_20,32,7.974449545145035e-09,7.974449545145035e-09,-3.4994506316159135e-09,0.0,1.0000002104789019,1.0,1.0,0.6265926496125758,0.6265926496125758,1.0,16.0
0.01,keys,layer_20,32,0.0005201516129886841,0.0005204626065449247,0.00013003138910860912,0.008628263267610237,0.991371925920248,1.0,0.9875000007450581,0.6267829837743193,0.6265926496125758,0.84375,15.125
0.03,keys,layer_20,32,0.000458733637003661,0.00045516261012323866,0.00011418575253685503,0.007089566388458479,0.9929106552153826,1.0,0.993750000372529,0.6285747024230659,0.6265926496125758,0.78125,14.34375
0.1,keys,layer_20,32,0.0008217426589851584,0.0008188894123861701,0.0002049692968597583,0.011557805956726952,0.9884423892945051,1.0,0.9875000007450581,0.626230840338394,0.6265926496125758,0.78125,14.3125
0.0,values,layer_20,32,7.974449545145035e-09,7.974449545145035e-09,-3.4994506316159135e-09,0.0,1.0000002104789019,1.0,1.0,0.6265926496125758,0.6265926496125758,1.0,16.0
0.01,values,layer_20,32,0.000436986921101834,0.00043193757775839003,0.000108576016224049,0.007124577869262794,0.9928756318986416,1.0,0.9875000007450581,0.6288981141988188,0.6265926496125758,0.8125,14.5
0.03,values,layer_20,32,0.0005804015103620941,0.000573550412276802,0.00014418372936209067,0.009082123868836334,0.9909181129187346,1.0,1.0,0.6304191164672375,0.6265926496125758,0.875,15.21875
0.1,values,layer_20,32,0.0008254202337241168,0.0008266827852594361,0.00020639465743954588,0.010873770022271856,0.9891264792531729,1.0,1.0,0.6248088520951569,0.6265926496125758,0.75,14.25
0.0,keys,layer_21,32,7.974449545145035e-09,7.974449545145035e-09,-3.4994506316159135e-09,0.0,1.0000002104789019,1.0,1.0,0.6265926496125758,0.6265926496125758,1.0,16.0
0.01,keys,layer_21,32,0.00041722871097960024,0.000415552334928293,0.00010405911333322138,0.006828651740590885,0.993171589449048,1.0,0.9875000007450581,0.6277124201878905,0.6265926496125758,0.8125,14.875
0.03,keys,layer_21,32,0.0004966998496769293,0.0004962482876038621,0.00012406751876881117,0.00799069926381435,0.9920095205307007,1.0,0.993750000372529,0.6255782961379737,0.6265926496125758,0.875,15.3125
0.1,keys,layer_21,32,0.001054943197857483,0.0010550566953497764,0.0002635795877381497,0.013959257183159934,0.9860409870743752,1.0,0.9875000007450581,0.626864903839305,0.6265926496125758,0.875,15.15625
0.0,values,layer_21,32,7.974449545145035e-09,7.974449545145035e-09,-3.4994506316159135e-09,0.0,1.0000002104789019,1.0,1.0,0.6265926496125758,0.6265926496125758,1.0,16.0
0.01,values,layer_21,32,0.0004892062493198068,0.00048573589295131114,0.00012182375188451999,0.008026219745261187,0.991973988711834,1.0,0.993750000372529,0.6293912015389651,0.6265926496125758,0.75,14.09375
0.03,values,layer_21,32,0.00047427346274275806,0.0004731308623036057,0.00011838357488613838,0.007465371859098013,0.9925348423421383,1.0,0.9875000007450581,0.6280719535425305,0.6265926496125758,0.8125,14.90625
0.1,values,layer_21,32,0.000736457726475237,0.0007350720318299864,0.00018385208636217953,0.011195867835340323,0.9888043571263552,1.0,0.993750000372529,0.624718751758337,0.6265926496125758,0.8125,14.125
0.0,keys,layer_22,32,7.974449545145035e-09,7.974449545145035e-09,-3.4994506316159135e-09,0.0,1.0000002104789019,1.0,1.0,0.6265926496125758,0.6265926496125758,1.0,16.0
0.01,keys,layer_22,32,0.00040486219558744097,0.0004039939345972243,0.00010105712429719915,0.006776636238612355,0.9932235833257437,1.0,1.0,0.6268152599222958,0.6265926496125758,0.84375,14.84375
0.03,keys,layer_22,32,0.0005771447570168675,0.0005711820189731043,0.00014346846745638686,0.008605939716971989,0.9913942851126194,1.0,0.9750000014901161,0.6290513621643186,0.6265926496125758,0.8125,14.40625
0.1,keys,layer_22,32,0.0013916273983340943,0.0013636457091763532,0.00034378596913597903,0.014836234563290418,0.9851640276610851,1.0,0.9625000022351742,0.6243032941129059,0.6265926496125758,0.78125,14.375
0.0,values,layer_22,32,7.974449545145035e-09,7.974449545145035e-09,-3.4994506316159135e-09,0.0,1.0000002104789019,1.0,1.0,0.6265926496125758,0.6265926496125758,1.0,16.0
0.01,values,layer_22,32,0.0004553527935513557,0.0004543103042919938,0.00011365479031510972,0.007069226188491484,0.9929310046136379,1.0,0.993750000372529,0.6268331501632929,0.6265926496125758,0.84375,14.53125
0.03,values,layer_22,32,0.0006379991082781089,0.0006355896440197739,0.00015913245756848937,0.009555255524446693,0.990444965660572,1.0,0.9750000014901161,0.6277733044698834,0.6265926496125758,0.8125,14.65625
0.1,values,layer_22,32,0.001028174437863072,0.0010051333237584004,0.00025385945890121775,0.012930093101317652,0.9870701245963573,1.0,0.9812500011175871,0.6315916248131543,0.6265926496125758,0.84375,14.875
0.0,keys,layer_23,32,7.974449545145035e-09,7.974449545145035e-09,-3.4994506316159135e-09,0.0,1.0000002104789019,1.0,1.0,0.6265926496125758,0.6265926496125758,1.0,16.0
0.01,keys,layer_23,32,0.000416904838388632,0.0004156370736652093,0.00010402245514384845,0.006709409461393534,0.9932907968759537,1.0,0.9812500011175871,0.6274780062958598,0.6265926496125758,0.875,15.03125
0.03,keys,layer_23,32,0.00047842606241488284,0.00047643823924659046,0.00011931101636974972,0.007727322649088819,0.9922729022800922,1.0,0.9812500011175871,0.6278589551802725,0.6265926496125758,0.875,15.21875
0.1,keys,layer_23,32,0.0008847255813861921,0.0008905921067139388,0.00022179387454457355,0.012231458961650787,0.9877687823027372,1.0,0.9812500011175871,0.6245566057041287,0.6265926496125758,0.78125,14.25
0.0,values,layer_23,32,7.974449545145035e-09,7.974449545145035e-09,-3.4994506316159135e-09,0.0,1.0000002104789019,1.0,1.0,0.6265926496125758,0.6265926496125758,1.0,16.0
