pair,context,config,k_bits,v_bits,cache_saved_fraction,target_kl_mean,target_kl_ci_low,target_kl_ci_high,draft_kl_mean,draft_kl_ci_low,draft_kl_ci_high,target_minus_draft_kl,target_top1_match,draft_top1_match,target_delta_nll,draft_delta_nll
llama31_8b_llama32_3b,1024,k3v4,3,4,0.6967329545454546,0.01209082563316724,0.009487771457381833,0.0152652863423898,0.013393524520339373,0.011391990894355608,0.015793698894097208,-0.0013026988871721323,0.94580078125,0.9365234375,-0.0022300390407457016,0.01744303699875971
llama31_8b_llama32_3b,1024,k4v2,4,2,0.7317708333333334,0.12974593822151137,0.10087692350506261,0.16418362026496247,0.15789215909162735,0.13721500707166712,0.18252875775174715,-0.02814622087011598,0.859375,0.802734375,0.13610910952557553,0.1548034821827997
llama31_8b_llama32_3b,1024,k4v3,4,3,0.7005208333333334,0.026061563719780467,0.01815876751286505,0.0363633412343341,0.0299384360490631,0.02547686114691583,0.03488760859834006,-0.0038768723292826324,0.92431640625,0.916015625,0.022041611232152425,0.020026765816798076
llama31_8b_llama32_3b,1024,k4v4,4,4,0.6692708333333334,0.006971525880631713,0.005430229315563084,0.00898976644511651,0.0074961774880623055,0.0064989635533116985,0.008646564190122108,-0.0005246516074305929,0.9580078125,0.95654296875,6.0160728567737465e-06,0.006455311798088559
llama31_8b_llama32_3b,1024,k4v8,4,8,0.5442708333333334,0.0020443868439341817,0.001674405557687858,0.0025557238386834102,0.0021672255773762528,0.0019664241515383596,0.002377368908068722,-0.00012283873344207108,0.98046875,0.9775390625,0.0013136936991116066,0.0010041837938885578
llama31_8b_llama32_3b,1024,k8v4,8,4,0.5594223484848485,0.005154836182018209,0.004211060799883419,0.006314253734415277,0.006370340245655193,0.005251474348069163,0.007906401631313953,-0.0012155040636369838,0.96533203125,0.9638671875,-0.002557353959733444,0.004889173856621909
olmo2_7b_1b,1024,k2v2,2,2,0.7866950757575758,0.1212409840295432,0.10329535468172613,0.14137093996124905,0.2832183066105127,0.22739476014806748,0.34435960996114723,-0.16197732258096953,0.8349609375,0.7666015625,0.08787669460682457,0.1303553238066648
olmo2_7b_1b,1024,k2v4,2,4,0.7241950757575758,0.025317847412983,0.021249871053888897,0.029784939999434615,0.0634928964777206,0.05309502502515473,0.07557855208808828,-0.03817504906473761,0.92041015625,0.8740234375,0.017271007526751703,0.03933257113938993
olmo2_7b_1b,1024,k3v4,3,4,0.6967329545454546,0.006860000441669831,0.005803925789471781,0.008049659681318697,0.011208274121576878,0.008808929210341376,0.014013000875713777,-0.004348273679907047,0.9658203125,0.955078125,-0.002112965278057821,0.006183553906195627
olmo2_7b_1b,1024,k4v2,4,2,0.7317708333333334,0.09631277000449456,0.08055544252649582,0.11344693430470754,0.2374770935785282,0.18099468822659048,0.3024603402203532,-0.14116432357403363,0.86181640625,0.810546875,0.07137695037592895,0.0607058151666644
olmo2_7b_1b,1024,k4v3,4,3,0.7005208333333334,0.018960676417167366,0.015301473001544275,0.023230410082224373,0.06532268284600962,0.045987059061286306,0.08687689615375538,-0.04636200642884225,0.9384765625,0.9189453125,0.00717886714022864,-0.021794826241148035
olmo2_7b_1b,1024,k4v4,4,4,0.6692708333333334,0.0043195436329802606,0.003649118442582505,0.005063623081453,0.008580824597160919,0.0065895768073246375,0.010971835322594936,-0.004261280964180658,0.9697265625,0.96044921875,0.00013512774292667729,-0.0004881081137728671
olmo2_7b_1b,1024,k4v8,4,8,0.5442708333333334,0.0008082780330451803,0.0006986730618086176,0.0009226315068670832,0.0011664477745608054,0.0009951321384883416,0.0013790103422639532,-0.00035816974151562514,0.9873046875,0.97998046875,9.376953897177742e-05,-0.002164130789306107
olmo2_7b_1b,1024,k8v4,8,4,0.5594223484848485,0.00366142976975814,0.0030904362761732806,0.004273983988276608,0.0077888817422926415,0.005781359350950144,0.010156009137018307,-0.004127451972534502,0.97119140625,0.96240234375,-0.0006981253256714837,0.0011631460493992662
smollm2_17b_360m,1024,k2v2,2,2,0.7788825757575758,0.12198843768092438,0.10529428520653639,0.14112606221377355,0.15830706159887242,0.14020621776023034,0.17800473481547385,-0.036318623917948045,0.833984375,0.80810546875,0.07973474966261218,0.13543969300114256
smollm2_17b_360m,1024,k2v4,2,4,0.7163825757575758,0.03563184957253318,0.030109604842225135,0.041810030853278946,0.0389380148531826,0.03293161300032299,0.04559530527739852,-0.00330616528064942,0.91015625,0.90625,0.000646966038781116,0.011817547222438662
smollm2_17b_360m,1024,k3v4,3,4,0.6889204545454546,0.006807039579975777,0.005826273501557733,0.00790381911546792,0.008066959715653174,0.007142745026990846,0.009069077790243796,-0.0012599201356773976,0.955078125,0.95166015625,-0.0005855614309764334,-0.003248467435764013
smollm2_17b_360m,1024,k4v2,4,2,0.7239583333333334,0.09552182709698531,0.07971594824919226,0.11364778100325168,0.10696541640237989,0.09297654172637948,0.121286639205195,-0.011443589305394575,0.8525390625,0.8310546875,0.08238048218307537,0.09184707753398058
smollm2_17b_360m,1024,k4v3,4,3,0.6927083333333334,0.017416464463700987,0.014168428181262793,0.021403609195836948,0.019853911045514927,0.017208582833856845,0.0228682650469878,-0.00243744658181394,0.93798828125,0.927734375,0.010877747625149148,0.013204650894191872
smollm2_17b_360m,1024,k4v4,4,4,0.6614583333333334,0.0047000173873828766,0.004093354747111783,0.0053634742209672515,0.005888846881283882,0.00518010596619245,0.006705392524934184,-0.0011888294939010058,0.9619140625,0.95751953125,0.0003061270310196207,0.00015877964103694353
smollm2_17b_360m,1024,k4v8,4,8,0.5364583333333334,0.0016940576373876415,0.001496166040286906,0.001953136800167121,0.0020691728813507226,0.0019009090177819765,0.002259492939194474,-0.00037511524396308116,0.97802734375,0.97705078125,-0.001953727904797198,-0.001254270681787517
smollm2_17b_360m,1024,k8v4,8,4,0.5516098484848485,0.004161367478671213,0.0036236931850187615,0.004728820808138107,0.005230392787407848,0.004576562513113225,0.005966127560031592,-0.0010690253087366347,0.96337890625,0.9658203125,0.001351972447432459,0.0016036059459771934
