context,config,target_config,draft_config,num_seeds,paired_prompt_count,paired_acceptance_delta_mean,paired_acceptance_delta_ci_low,paired_acceptance_delta_ci_high,accept_rate_mean,round_js_mean,bf16_reference_sequence_match_mean,bf16_reference_token_match_mean,bf16_reference_exact_count,bf16_reference_tie_count,bf16_reference_non_tie_count,target_cache_saved_fraction,draft_cache_saved_fraction,total_cache_saved_fraction
1024,target_k8v4__draft_k4v4,k8v4,k4v4,3,190,-0.011145326639086517,-0.027779085706908235,0.005677930379735852,0.5219970402257003,0.06625691184632918,0.6302083333333334,0.8284505208333334,176,88,24,0.5556490384615385,0.6633413461538461,0.6027644230769231
1024,target_k8v4__draft_k4v8,k8v4,k4v8,3,190,-0.00814896139412391,-0.025242158235271872,0.009100204929685662,0.5249719136124311,0.06686504828933049,0.6354166666666666,0.830078125,176,89,23,0.5556490384615385,0.5383413461538461,0.5480769230769231
1024,target_k8v4__draft_k8v4,k8v4,k8v4,3,190,-0.005949516249386888,-0.021034670652157028,0.009145216035768677,0.5274344305984104,0.06651206928213402,0.6354166666666666,0.8287760416666666,177,88,23,0.5556490384615385,0.5556490384615385,0.5556490384615385
1024,target_k8v4__draft_k8v8,k8v4,k8v8,3,190,-0.0062150172052920505,-0.02398120598677056,0.011700153540910918,0.5267865782434533,0.06645237201187226,0.640625,0.8310546875,178,90,20,0.5556490384615385,0.43064903846153846,0.5009615384615385
1024,target_k8v4__draft_none,k8v4,none,3,190,-0.009608007143095065,-0.026560924908060668,0.006618923741987137,0.5234209504566365,0.06606865702644855,0.6354166666666666,0.8277994791666666,175,93,20,0.5556490384615385,0.0,0.3125525841346154
1024,target_k8v8__draft_k4v4,k8v8,k4v4,3,190,-0.00557788658874625,-0.019755564340246168,0.008779555801779915,0.5282808857361,0.0651633905282919,0.71875,0.8834635416666666,216,69,3,0.43064903846153846,0.6633413461538461,0.5324519230769231
1024,target_k8v8__draft_k4v8,k8v8,k4v8,3,190,-0.007921945000274655,-0.020491914172070747,0.004682069074622985,0.5258056787332502,0.06488057212454007,0.7239583333333334,0.8863932291666666,218,67,3,0.43064903846153846,0.5383413461538461,0.4777644230769231
1024,target_k8v8__draft_k8v4,k8v8,k8v4,3,190,-0.0012354764974028543,-0.015011500127779187,0.01231308408427556,0.5327365491424174,0.06477739963880541,0.7291666666666666,0.8873697916666666,219,66,3,0.43064903846153846,0.5556490384615385,0.48533653846153846
1024,target_k8v8__draft_k8v8,k8v8,k8v8,3,190,-0.00557788658874625,-0.01826921931948189,0.0068813769511540945,0.5280189882854783,0.06442582098529347,0.734375,0.8899739583333334,219,66,3,0.43064903846153846,0.43064903846153846,0.43064903846153846
1024,target_k8v8__draft_none,k8v8,none,3,190,-0.01167753161933216,-0.022861707263757913,-0.0013191500449842852,0.5222776287977624,0.06450429440776641,0.734375,0.8938802083333334,218,67,3,0.43064903846153846,0.0,0.2422400841346154
